epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2659.6,2.21624,1.36383,0.97269,0.58521,0.42574,0.42588,0.15215,2.25569,1.34072,1.01406,0.0011882,0.0011882,0.0011882
43,2722.58,2.15228,1.32183,0.97531,0.71012,0.40924,0.46342,0.16172,2.29596,1.24073,1.01658,0.0011684,0.0011684,0.0011684
44,2783.74,2.10622,1.28133,0.97751,0.63082,0.41166,0.4403,0.14636,2.39691,1.2828,1.06556,0.0011486,0.0011486,0.0011486
45,2843.12,2.1409,1.28188,0.97085,0.61342,0.45562,0.46998,0.15291,2.34913,1.25129,1.06953,0.0011288,0.0011288,0.0011288
46,2904.25,2.1137,1.28154,0.96996,0.55394,0.43035,0.42947,0.14897,2.31071,1.28229,1.05712,0.001109,0.001109,0.001109
47,2965.45,2.11468,1.27713,0.96533,0.62336,0.44244,0.45333,0.16279,2.30775,1.23662,1.06146,0.0010892,0.0010892,0.0010892
48,3026.68,2.12456,1.2997,0.95532,0.63531,0.44224,0.46351,0.16148,2.2577,1.26023,1.04413,0.0010694,0.0010694,0.0010694
49,3088,2.10333,1.28816,0.96556,0.7126,0.38284,0.44343,0.15331,2.26864,1.22823,1.03146,0.0010496,0.0010496,0.0010496
50,3152.83,2.0781,1.26283,0.9547,0.72851,0.41254,0.48063,0.1624,2.2489,1.20642,1.04847,0.0010298,0.0010298,0.0010298
51,3213.07,2.08803,1.23397,0.9572,0.68696,0.42006,0.46491,0.15578,2.29072,1.21714,1.05928,0.00101,0.00101,0.00101
52,3273.91,2.07625,1.22672,0.94962,0.67095,0.43234,0.48074,0.16103,2.3037,1.21355,1.06433,0.0009902,0.0009902,0.0009902
53,3334.47,2.05402,1.23567,0.94449,0.67191,0.43234,0.4755,0.15831,2.3678,1.18009,1.07808,0.0009704,0.0009704,0.0009704
54,3394.82,2.04936,1.23232,0.96067,0.68156,0.42574,0.47325,0.16262,2.31371,1.19569,1.07029,0.0009506,0.0009506,0.0009506
55,3455.37,2.06385,1.21643,0.9478,0.64885,0.41584,0.45243,0.15334,2.27196,1.23348,1.05124,0.0009308,0.0009308,0.0009308
56,3518.65,2.03086,1.168,0.96356,0.73849,0.40924,0.46861,0.16233,2.23962,1.20855,1.04772,0.000911,0.000911,0.000911
57,3580.43,2.02512,1.2005,0.93772,0.66515,0.4458,0.49146,0.16504,2.26322,1.2132,1.04541,0.0008912,0.0008912,0.0008912
58,3643.32,1.9709,1.15897,0.93894,0.66872,0.45302,0.46344,0.16077,2.24806,1.17814,1.05759,0.0008714,0.0008714,0.0008714
59,3704.51,2.01494,1.19466,0.9382,0.65353,0.40924,0.46517,0.15939,2.28251,1.24013,1.06342,0.0008516,0.0008516,0.0008516
60,3766.47,1.99282,1.14261,0.94391,0.59636,0.42574,0.45439,0.15838,2.33426,1.22861,1.07655,0.0008318,0.0008318,0.0008318
61,3828.96,1.98412,1.1418,0.93244,0.63233,0.49382,0.52058,0.17734,2.23873,1.16614,1.04191,0.000812,0.000812,0.000812
62,3889.84,1.98096,1.1523,0.93082,0.5436,0.47525,0.4638,0.15734,2.34128,1.18587,1.06474,0.0007922,0.0007922,0.0007922
63,3952.36,1.98342,1.1488,0.93305,0.60695,0.41584,0.44162,0.15708,2.36939,1.2342,1.08395,0.0007724,0.0007724,0.0007724
64,4013.56,1.97445,1.13453,0.93728,0.66617,0.42244,0.47122,0.16308,2.34978,1.21518,1.09476,0.0007526,0.0007526,0.0007526
65,4076.37,1.90599,1.07823,0.93246,0.60281,0.45215,0.45077,0.15951,2.34298,1.23343,1.06724,0.0007328,0.0007328,0.0007328
66,4139.96,1.92123,1.11365,0.93019,0.61119,0.44098,0.45509,0.15376,2.29515,1.20718,1.05809,0.000713,0.000713,0.000713
67,4205.27,1.93112,1.10197,0.92806,0.59775,0.47525,0.47129,0.16136,2.28415,1.1666,1.06548,0.0006932,0.0006932,0.0006932
68,4267.94,1.90287,1.09493,0.92815,0.63359,0.47195,0.47689,0.15708,2.27331,1.20859,1.06047,0.0006734,0.0006734,0.0006734
69,4331.1,1.90977,1.08141,0.92528,0.66099,0.44884,0.47462,0.16902,2.27646,1.2157,1.06784,0.0006536,0.0006536,0.0006536
70,4393.2,1.89603,1.08682,0.91969,0.61457,0.44884,0.47036,0.1605,2.31226,1.19791,1.07195,0.0006338,0.0006338,0.0006338
71,4455.87,1.89616,1.08529,0.92761,0.64409,0.47782,0.48634,0.1658,2.30958,1.17341,1.08263,0.000614,0.000614,0.000614
