epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.204,2.30622,9.52596,1.36767,0.44467,0.59071,0.45891,0.16046,2.14466,1.67075,1.50923,0.00332806,0.00332806,0.00332806
2,749.879,2.192,1.93016,1.33912,0.48513,0.56023,0.49313,0.16345,2.20878,1.60987,1.53265,0.00663873,0.00663873,0.00663873
3,1116.24,2.20766,1.85224,1.35405,0.4623,0.50508,0.41891,0.13917,2.21535,1.85507,1.52011,0.00992672,0.00992672,0.00992672
4,1480.35,2.18891,1.78563,1.3448,0.39087,0.67054,0.40948,0.13267,2.15424,1.80248,1.50846,0.00989794,0.00989794,0.00989794
5,1844.34,2.15782,1.68828,1.33249,0.50311,0.57329,0.52038,0.18385,2.1792,1.59613,1.5169,0.00986392,0.00986392,0.00986392
6,2208.32,2.12107,1.64503,1.31105,0.55853,0.71553,0.61717,0.21644,2.11474,1.45134,1.48567,0.0098299,0.0098299,0.0098299
7,2571.9,2.10481,1.58813,1.30781,0.52948,0.6894,0.58971,0.21262,2.10336,1.48398,1.47048,0.00979588,0.00979588,0.00979588
8,2935.97,2.08428,1.54473,1.29569,0.55868,0.69231,0.61014,0.22526,2.15995,1.35439,1.50314,0.00976186,0.00976186,0.00976186
9,3299.81,2.07807,1.53354,1.28925,0.47721,0.68795,0.54557,0.18701,2.185,1.48135,1.48881,0.00972784,0.00972784,0.00972784
10,3663.2,2.06352,1.49086,1.28063,0.57556,0.72859,0.61851,0.22228,2.119,1.39176,1.4533,0.00969381,0.00969381,0.00969381
11,4027.02,2.04043,1.48126,1.27402,0.53813,0.68823,0.5984,0.22213,2.09527,1.4561,1.46558,0.00965979,0.00965979,0.00965979
12,4390.67,2.04226,1.45813,1.27383,0.63814,0.69666,0.6794,0.25097,2.1506,1.35255,1.4779,0.00962577,0.00962577,0.00962577
13,4754.25,2.02346,1.44726,1.26572,0.60579,0.74456,0.65451,0.24373,2.08297,1.33459,1.44216,0.00959175,0.00959175,0.00959175
14,5118.12,2.02589,1.41747,1.26275,0.63831,0.65167,0.67769,0.25943,2.13254,1.29936,1.47324,0.00955773,0.00955773,0.00955773
15,5482.02,2.01599,1.39014,1.26503,0.62248,0.67725,0.66674,0.24123,2.13146,1.33249,1.46133,0.00952371,0.00952371,0.00952371
16,5845.87,2.00715,1.39979,1.26092,0.5807,0.71843,0.65533,0.24603,2.11741,1.33547,1.46342,0.00948969,0.00948969,0.00948969
17,6209.42,2.00428,1.37686,1.25453,0.65565,0.73875,0.69588,0.2419,2.16882,1.29019,1.49413,0.00945567,0.00945567,0.00945567
18,6573.09,1.99102,1.36089,1.25342,0.62216,0.71218,0.67747,0.25596,2.10096,1.2958,1.44898,0.00942165,0.00942165,0.00942165
19,6936.23,1.99591,1.35972,1.24985,0.6791,0.72859,0.71792,0.26171,2.11928,1.30006,1.46346,0.00938763,0.00938763,0.00938763
20,7299.8,1.98148,1.33816,1.24275,0.63346,0.69376,0.6822,0.25367,2.11042,1.32181,1.45417,0.00935361,0.00935361,0.00935361
21,7663.82,1.97332,1.32437,1.24771,0.64381,0.70392,0.688,0.25139,2.10202,1.33337,1.45685,0.00931959,0.00931959,0.00931959
22,8027.74,1.97386,1.31738,1.24174,0.68003,0.73585,0.72295,0.26954,2.1092,1.28877,1.43826,0.00928557,0.00928557,0.00928557
23,8391.68,1.97982,1.30381,1.24895,0.67681,0.72339,0.71028,0.26235,2.11702,1.26336,1.46186,0.00925155,0.00925155,0.00925155
24,8755.5,1.96093,1.29443,1.23661,0.71032,0.67925,0.70903,0.26096,2.09204,1.2921,1.42854,0.00921753,0.00921753,0.00921753
25,9118.91,1.95806,1.29008,1.24119,0.67733,0.70972,0.7233,0.26934,2.09645,1.28491,1.45737,0.00918351,0.00918351,0.00918351
26,9482.87,1.95179,1.28374,1.23724,0.69538,0.70392,0.72738,0.27809,2.09358,1.25247,1.44195,0.00914948,0.00914948,0.00914948
27,9846.91,1.94437,1.25183,1.23324,0.69453,0.71988,0.72783,0.27651,2.11216,1.2506,1.44854,0.00911546,0.00911546,0.00911546
28,10210.6,1.94062,1.25399,1.22841,0.68744,0.71184,0.74277,0.27789,2.10466,1.25575,1.45173,0.00908144,0.00908144,0.00908144
29,10574.5,1.94442,1.23806,1.22997,0.7173,0.6865,0.7348,0.28664,2.08901,1.25223,1.43725,0.00904742,0.00904742,0.00904742
30,10938.4,1.93645,1.22761,1.22516,0.69336,0.70888,0.72004,0.28158,2.09817,1.25654,1.44149,0.0090134,0.0090134,0.0090134
31,11301.7,1.92997,1.22368,1.22959,0.70512,0.70392,0.73667,0.28174,2.09459,1.25853,1.43713,0.00897938,0.00897938,0.00897938
32,11665.7,1.91488,1.20961,1.2259,0.70776,0.71004,0.73777,0.28336,2.09983,1.21688,1.45464,0.00894536,0.00894536,0.00894536
33,12029.2,1.92488,1.20478,1.22051,0.73325,0.6807,0.75616,0.28844,2.09172,1.23047,1.43763,0.00891134,0.00891134,0.00891134
34,12392.9,1.91123,1.19829,1.22354,0.72992,0.71781,0.74811,0.27528,2.12843,1.22248,1.46154,0.00887732,0.00887732,0.00887732
35,12756.5,1.90758,1.18967,1.21993,0.73025,0.70247,0.74621,0.2879,2.14093,1.20509,1.46405,0.0088433,0.0088433,0.0088433
36,13120.3,1.89696,1.17758,1.21142,0.71827,0.73295,0.75648,0.28052,2.12134,1.22383,1.45677,0.00880928,0.00880928,0.00880928
37,13483.8,1.88943,1.1695,1.20621,0.74698,0.7373,0.76267,0.28764,2.10906,1.21358,1.45496,0.00877526,0.00877526,0.00877526
38,13847.4,1.88932,1.16288,1.20714,0.75294,0.70972,0.75164,0.28476,2.13746,1.19631,1.472,0.00874124,0.00874124,0.00874124
39,14211.1,1.88492,1.15929,1.208,0.76513,0.71698,0.75762,0.28182,2.11603,1.18423,1.45412,0.00870722,0.00870722,0.00870722
40,14574.9,1.87959,1.14925,1.20571,0.73987,0.70972,0.75836,0.28259,2.11454,1.18755,1.46371,0.0086732,0.0086732,0.0086732
41,14938.8,1.87804,1.13897,1.20082,0.72508,0.71553,0.74745,0.28135,2.14044,1.18838,1.48384,0.00863918,0.00863918,0.00863918
42,15302.5,1.86413,1.13003,1.19521,0.73674,0.71553,0.75502,0.28075,2.15964,1.19051,1.48553,0.00860515,0.00860515,0.00860515
43,15666.3,1.8675,1.1181,1.19763,0.7397,0.7344,0.76588,0.28391,2.15574,1.18898,1.48507,0.00857113,0.00857113,0.00857113
44,16030.2,1.84816,1.11023,1.19264,0.72827,0.71408,0.74757,0.28082,2.16398,1.1919,1.47971,0.00853711,0.00853711,0.00853711
45,16394,1.8449,1.10597,1.18866,0.6996,0.71553,0.73417,0.27363,2.1847,1.21199,1.50814,0.00850309,0.00850309,0.00850309
46,16757.8,1.83779,1.09109,1.1865,0.74514,0.71698,0.76115,0.28105,2.17128,1.17372,1.49959,0.00846907,0.00846907,0.00846907
47,17121.6,1.83501,1.08872,1.19004,0.76315,0.69231,0.7498,0.28761,2.16453,1.16299,1.49629,0.00843505,0.00843505,0.00843505
48,17485.8,1.82463,1.08275,1.1847,0.74737,0.69376,0.74254,0.2851,2.1613,1.17061,1.49217,0.00840103,0.00840103,0.00840103
49,17849.2,1.82075,1.06577,1.18057,0.73488,0.70682,0.74766,0.28433,2.17007,1.1608,1.49397,0.00836701,0.00836701,0.00836701
50,18212.7,1.82086,1.06853,1.18407,0.73783,0.70255,0.73935,0.28337,2.15448,1.16237,1.49432,0.00833299,0.00833299,0.00833299
51,18576.3,1.81143,1.05921,1.1792,0.74008,0.70827,0.74236,0.28592,2.16294,1.16566,1.50135,0.00829897,0.00829897,0.00829897
52,18940,1.79597,1.05576,1.17524,0.73569,0.72134,0.74837,0.28726,2.17924,1.14899,1.51236,0.00826495,0.00826495,0.00826495
